DBN,School,Year,Total Enrollment,Num_PK,Num_K,Num_G1,Num_G2,Num_G3,Num_G4,Num_G5,Num_G6,Num_G7,Num_G8,Num_G9,Num_G10,Num_G11,Num_G12,Female,Male,Asian,Black,Hispanic,Multiple,White,Disability,ELL,Poverty,Need_Index
01M063,The STAR Academy - P.S.63,2016-17,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,0.485000014,0.514999986,0.039999999,0.185000002,0.644999981,0.025,0.104999997,0.330000013,0.025,0.824999988,0.689935029
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,0.492610842,0.507389188,0.029556651,0.182266012,0.630541861,0.039408866,0.118226603,0.330049247,0.009852217,0.817734003,0.761950731
01M063,The STAR Academy - P.S.63,2018-19,230,23,49,41,28,40,25,24,0,0,0,0,0,0,0,0.452173918,0.547826111,0.017391304,0.195652172,0.652173936,0.039130434,0.09565217,0.317391306,0.017391304,0.765217364,0.732056797
01M064,P.S. 064 Robert Simon,2014-15,282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,0.425531924,0.574468076,0.070921987,0.180851057,0.65602839,0.017730497,0.074468084,0.329787225,0.063829787,0.943262398,0.834346175
01M064,P.S. 064 Robert Simon,2015-16,258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,0.40697673,0.593023241,0.073643409,0.189922482,0.655038774,0.007751938,0.073643409,0.329457372,0.058139537,0.930232584,0.821569741
01M064,P.S. 064 Robert Simon,2016-17,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,0.421052635,0.578947365,0.052631579,0.194331989,0.676113367,0.012145749,0.06477733,0.327935219,0.040485829,0.967611313,0.824352205
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,0.412244886,0.587755084,0.044897959,0.208163261,0.681632638,0.012244898,0.053061225,0.297959179,0.020408163,0.922448993,0.882395923
01M064,P.S. 064 Robert Simon,2018-19,223,19,42,32,40,29,28,33,0,0,0,0,0,0,0,0.417040348,0.582959652,0.031390134,0.183856502,0.71300447,0.017937221,0.053811658,0.278026909,0.026905829,0.860986531,0.895560563
01M110,P.S. 110 Florence Nightingale,2014-15,419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,0.484486878,0.515513122,0.128878281,0.097852029,0.443914086,0.038186159,0.291169465,0.162291169,0.021479713,0.517899752,0.462482989
01M110,P.S. 110 Florence Nightingale,2015-16,394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,0.477157354,0.522842646,0.159898475,0.09898477,0.431472093,0.040609136,0.269035518,0.159898475,0.012690355,0.540609121,0.475862831
01M110,P.S. 110 Florence Nightingale,2016-17,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,0.467362911,0.53263706,0.18276763,0.09660574,0.420365542,0.02610966,0.274151444,0.143603131,0.05221932,0.577023506,0.484783292
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,0.437994719,0.562005281,0.168865442,0.09762533,0.443271756,0.029023746,0.26121372,0.126649082,0.036939315,0.625329792,0.579976261
01M110,P.S. 110 Florence Nightingale,2018-19,372,34,59,66,59,52,45,57,0,0,0,0,0,0,0,0.45161289,0.54838711,0.158602148,0.099462368,0.45161289,0.032258064,0.258064508,0.123655915,0.021505376,0.564516127,0.591852129
01M134,P.S. 134 Henrietta Szold,2014-15,255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,0.4627451,0.53725493,0.254901975,0.192156866,0.521568656,0,0.031372551,0.321568638,0.129411772,0.933333337,0.816088855
01M134,P.S. 134 Henrietta Szold,2015-16,263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,0.475285172,0.524714828,0.212927759,0.20152092,0.551330805,0.007604563,0.02661597,0.372623563,0.117870726,0.927756667,0.81736213
01M134,P.S. 134 Henrietta Szold,2016-17,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,0.483050853,0.516949177,0.155367225,0.200564966,0.601694942,0.014124294,0.028248588,0.403954804,0.093220338,0.901129961,0.828485847
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,0.441077441,0.558922529,0.111111112,0.21548821,0.612794638,0.023569023,0.037037037,0.417508423,0.087542087,0.919191897,0.90149492
01M134,P.S. 134 Henrietta Szold,2018-19,281,14,43,37,35,45,53,54,0,0,0,0,0,0,0,0.44839859,0.55160141,0.096085407,0.259786487,0.601423502,0.010676157,0.03202847,0.412811399,0.085409254,0.921708167,0.913430631
01M140,P.S. 140 Nathan Straus,2014-15,380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,0.521052659,0.478947371,0.055263158,0.105263159,0.794736862,0.005263158,0.039473683,0.352631569,0.171052635,0.763157904,0.834430873
01M140,P.S. 140 Nathan Straus,2015-16,376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,0.5,0.5,0.05319149,0.125,0.776595771,0.010638298,0.034574468,0.351063818,0.143617019,0.787234068,0.854875088
01M140,P.S. 140 Nathan Straus,2016-17,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,0.476439804,0.523560226,0.047120418,0.117801048,0.795811534,0.010471204,0.028795812,0.324607342,0.117801048,0.751308918,0.835662305
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,0.490566045,0.509433985,0.056603774,0.123989217,0.787061989,0.005390835,0.026954178,0.328840971,0.097035043,0.88409704,0.912641525
01M140,P.S. 140 Nathan Straus,2018-19,385,12,30,32,32,26,25,29,64,67,68,0,0,0,0,0.488311678,0.511688292,0.044155844,0.140259743,0.792207778,0,0.023376623,0.35584417,0.111688308,0.833766222,0.885163665
01M142,P.S. 142 Amalia Castro,2014-15,386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,0.463730574,0.536269426,0.054404143,0.142487049,0.761658013,0.025906736,0.015544041,0.303108811,0.103626944,0.963730574,0.851215065
01M142,P.S. 142 Amalia Castro,2015-16,354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,0.451977402,0.548022628,0.064971752,0.11299435,0.782485902,0.016949153,0.02259887,0.372881353,0.084745765,0.963276863,0.850353122
01M142,P.S. 142 Amalia Castro,2016-17,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,0.45505619,0.54494381,0.047752809,0.11797753,0.800561786,0.02247191,0.011235955,0.339887649,0.089887641,0.980337083,0.85719943
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,0.447058827,0.552941203,0.023529412,0.126470596,0.826470613,0.020588236,0.002941177,0.373529404,0.079411767,0.97647059,0.911482334
01M142,P.S. 142 Amalia Castro,2018-19,353,51,48,55,49,51,44,55,0,0,0,0,0,0,0,0.433427751,0.566572249,0.036827195,0.155807361,0.7733711,0.019830028,0.014164306,0.362606227,0.073654391,0.957507074,0.901292622
01M184,P.S. 184m Shuang Wen,2014-15,665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,0.508270681,0.491729319,0.750375926,0.031578947,0.087218046,0.043609023,0.087218046,0.127819553,0.174436092,0.690225542,0.532309473
01M184,P.S. 184m Shuang Wen,2015-16,663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,0.499245852,0.500754178,0.710407257,0.036199097,0.116138764,0.051282052,0.085972853,0.182503775,0.173454002,0.70588237,0.536637962
01M184,P.S. 184m Shuang Wen,2016-17,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,0.491071433,0.508928597,0.696428597,0.044642858,0.120535716,0.053571429,0.084821425,0.18601191,0.162202388,0.68601191,0.525013387
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,0.498538017,0.501461983,0.694444418,0.036549706,0.134502918,0.061403509,0.073099412,0.165204674,0.150584802,0.679824591,0.653178334
