FISCAL_YEAR,LOCATION_CODE,GEOGRAPHICAL_DISTRICT_CODE,LOCATION_NAME,MANAGED_BY_NAME,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,LONGITUDE,LATITUDE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME
2019,K485,20,High School of Telecommunication Arts and Technolo,DOE,K485,350 67 STREET,NY,40.636721,-74.023419,310,43,7000,3058500030,BK31,Bay Ridge
2019,K486,15,New Dawn Charter High School,Charter,KBBA,242 HOYT STREET,NY,40.68291,-73.990292,306,33,6900,0,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K488,14,Brooklyn Preparatory High School,DOE,K650,257 NORTH  6 STREET,NY,40.715561,-73.954815,301,33,51900,3023300011,BK73,North Side-South Side
2019,K490,20,Fort Hamilton High School,DOE,K490,8301 SHORE ROAD,NY,40.626827,-74.038103,310,43,4600,3060130001,BK31,Bay Ridge
2019,K492,13,Academy of Arts and Letters,DOE,K020,225 ADELPHI STREET,NY,40.690742,-73.970896,302,35,18300,3020910003,BK68,Fort Greene
2019,K493,23,Brooklyn Collegiate: A College Board School,DOE,K055,2021 BERGEN STREET,NY,40.674456,-73.912685,316,41,36501,3014480001,BK79,Ocean Hill
2019,K497,15,The Boerum Hill School for International Studies,DOE,K293,284 BALTIC STREET,NY,40.685006,-73.993293,306,33,6900,3004020001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K498,16,Brooklyn High School for Law and Technology,DOE,K987,1396 BROADWAY,NY,40.688399,-73.920603,303,41,37500,3014820001,BK35,Stuyvesant Heights
2019,K499,17,ACORN Community High School,DOE,K909,561 GRAND AVENUE,NY,40.678591,-73.961636,308,35,30500,3011410005,BK61,Crown Heights North
2019,K502,19,FDNY - Captain Vernon A. Richard High School for F,DOE,K435,400 PENNSYLVANIA AVENUE,NY,40.666868,-73.895122,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)
2019,K503,20,P.S. 503: The School of Discovery,DOE,K314,330 59 STREET,NY,40.64195,-74.019299,307,38,7400,3008620012,BK32,Sunset Park West
2019,K504,19,High School for Civil Rights,DOE,K435,400 PENNSYLVANIA AVENUE,NY,40.666868,-73.895122,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)
2019,K505,20,Franklin Delano Roosevelt High School,DOE,K505,5800 20 AVENUE,NY,40.621299,-73.982583,312,44,46800,3055060006,BK88,Borough Park
2019,K506,20,P.S. 506: The School of Journalism & Technology,DOE,K314,330 59 STREET,NY,40.64195,-74.019299,307,38,7400,3008620012,BK32,Sunset Park West
2019,K507,19,Performing Arts and Technology High School,DOE,K435,400 PENNSYLVANIA AVENUE,NY,40.666868,-73.895122,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)
2019,K508,13,Achievement First Endeavor Charter School,Charter,K784,510 WAVERLY AVENUE,NY,40.682422,-73.965928,302,35,19900,3020110039,BK69,Clinton Hill
2019,K510,19,World Academy for Total Community Health High Scho,DOE,K435,400 PENNSYLVANIA AVENUE,NY,40.666868,-73.895122,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)
2019,K514,23,Frederick Douglass Academy VII High School,DOE,K175,226 BRISTOL STREET,NY,40.665568,-73.912102,316,41,92400,3035410001,BK81,Brownsville
2019,K516,15,Sunset Park Avenues Elementary School,DOE,K333,4222 4TH AVENUE,NY,40.650793,-74.008106,307,38,8200,3007230025,BK32,Sunset Park West
2019,K517,13,Leadership Prep Bedford Stuyvesant Uncommon Prep C,Charter,K258,141 MACON STREET,NY,40.68192,-73.9456,303,36,26900,3018450001,BK75,Bedford
2019,K518,23,Kappa V (Knowledge and Power Preparatory Academy),DOE,K275,985 ROCKAWAY AVENUE,NY,40.655644,-73.906662,316,42,92200,3036360007,BK81,Brownsville
2019,K519,15,Cobble Hill School of American Studies,DOE,K804,347 BALTIC STREET,NY,40.684869,-73.990884,306,33,6900,3003970011,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K522,23,Mott Hall IV,DOE,K271,1137 HERKIMER STREET,NY,40.678124,-73.915106,316,41,30100,3015500001,BK79,Ocean Hill
2019,K524,17,International High School at Prospect Heights,DOE,K440,883 CLASSON AVENUE,NY,40.669805,-73.960689,309,35,21300,3011870001,BK63,Crown Heights South
2019,K525,21,Edward R. Murrow High School,DOE,K525,1600 AVENUE L,NY,40.619671,-73.959141,314,44,76800,3067340109,BK43,Midwood
2019,K527,13,Urban Assembly Institute of Math and Science for Y,DOE,K313,283 ADAMS STREET,NY,40.694629,-73.988323,302,33,1100,3001400010,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K528,17,The High School for Global Citizenship,DOE,K440,883 CLASSON AVENUE,NY,40.669805,-73.960689,309,35,21300,3011870001,BK63,Crown Heights South
2019,K529,15,West Brooklyn Community High School,DOE,K781,1053 41ST STREET,NY,40.642619,-73.992151,312,39,11000,3055870038,BK34,Sunset Park East
2019,K531,17,"School for Human Rights, The",DOE,K470,600 KINGSTON AVENUE,NY,40.658671,-73.943839,309,40,81000,3048110001,BK60,Prospect Lefferts Gardens-Wingate
2019,K532,17,New Bridges Elementary,DOE,K167,1025 EASTERN PARKWAY,NY,40.669557,-73.934316,308,35,35300,3013890035,BK61,Crown Heights North
2019,K535,22,Leon M. Goldstein High School for the Sciences,DOE,K535,1830 SHORE BOULEVARD,NY,40.578356,-73.934449,315,48,61600,3087600060,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K536,13,Community Roots Charter School,Charter,K067,51 SAINT EDWARDS STREET,NY,40.695339,-73.977674,302,35,2901,3020390002,BK68,Fort Greene
2019,K537,17,High School for Youth and Community Development at,DOE,K465,911 FLATBUSH AVENUE,NY,40.649602,-73.957173,314,40,79400,3051030010,BK95,Erasmus
2019,K538,32,Achievement First Bushwick Charter School,Charter,K383,1300 GREENE AVENUE,NY,40.697898,-73.919088,304,37,43100,3032980001,BK77,Bushwick North
2019,K539,17,High School for Service & Learning at Erasmus,DOE,K465,911 FLATBUSH AVENUE,NY,40.649602,-73.957173,314,40,79400,3051030010,BK95,Erasmus
2019,K540,21,John Dewey High School,DOE,K540,50 AVENUE X,NY,40.58807,-73.981925,313,47,30800,3071850020,BK26,Gravesend
2019,K543,17,"Science, Technology and Research Early College Hig",DOE,K465,911 FLATBUSH AVENUE,NY,40.649602,-73.957173,314,40,79400,3051030010,BK95,Erasmus
2019,K545,32,EBC High School for Public Service - Bushwick,DOE,K913,1155 DEKALB AVENUE,NY,40.694723,-73.929315,304,34,39300,3032300027,BK78,Bushwick South
2019,K546,17,High School for Public Service: Heroes of Tomorrow,DOE,K470,600 KINGSTON AVENUE,NY,40.658671,-73.943839,309,40,81000,3048110001,BK60,Prospect Lefferts Gardens-Wingate
2019,K547,17,Brooklyn Academy of Science and the Environment,DOE,K440,883 CLASSON AVENUE,NY,40.669805,-73.960689,309,35,21300,3011870001,BK63,Crown Heights South
2019,K548,17,Brooklyn School for Music & Theatre,DOE,K440,883 CLASSON AVENUE,NY,40.669805,-73.960689,309,35,21300,3011870001,BK63,Crown Heights South
2019,K549,32,The Brooklyn School for Social Justice,DOE,K480,400 IRVING AVENUE,NY,40.696457,-73.911751,304,37,43500,3033650098,BK77,Bushwick North
2019,K552,32,The Academy of Urban Planning and Engineering,DOE,K480,400 IRVING AVENUE,NY,40.696457,-73.911751,304,37,43500,3033650098,BK77,Bushwick North
2019,K553,13,Brooklyn Academy High School,DOE,K458,832 MARCY AVENUE,NY,40.684654,-73.947873,303,36,24900,3018230038,BK75,Bedford
2019,K554,32,All City Leadership Secondary School,DOE,K554,321 PALMETTO STREET,NY,40.697378,-73.913172,304,37,43300,3033440136,BK77,Bushwick North
2019,K555,15,Brooklyn College Academy,DOE,K917,350 CONEY ISLAND AVENUE,NY,40.649055,-73.972312,307,39,50400,3053220069,BK40,Windsor Terrace
2019,K556,32,Bushwick Leaders High School for Academic Excellen,DOE,K865,797 BUSHWICK AVENUE,NY,40.695436,-73.927349,304,34,39300,3032420001,BK78,Bushwick South
2019,K557,19,Brooklyn Gardens Elementary School,DOE,K174,574 DUMONT AVENUE,NY,40.665446,-73.897604,305,42,113000,3038020015,BK85,East New York (Pennsylvania Ave)
2019,K558,14,Williamsburg High School for Architecture and Desi,DOE,K650,257 NORTH  6 STREET,NY,40.715561,-73.954815,301,33,51900,3023300011,BK73,North Side-South Side
2019,K559,21,Life Academy High School for Film and Music,DOE,K400,2630 BENSON AVENUE,NY,40.593028,-73.986313,313,47,30600,3068830001,BK26,Gravesend
2019,K561,14,Williamsburg Preparatory School,DOE,K650,257 NORTH  6 STREET,NY,40.715561,-73.954815,301,33,51900,3023300011,BK73,North Side-South Side
2019,K562,32,Evergreen Middle School for Urban Exploration,DOE,K296,125 COVERT STREET,NY,40.688647,-73.910589,304,37,41300,3034160001,BK78,Bushwick South
2019,K563,18,It Takes a Village Academy,DOE,K415,5800 TILDEN AVENUE,NY,40.647728,-73.922212,317,45,93600,3047420001,BK96,Rugby-Remsen Village
2019,K564,32,Bushwick Community High School,DOE,K291,231 PALMETTO STREET,NY,40.695875,-73.915217,304,37,43300,3033430001,BK77,Bushwick North
2019,K566,18,Brooklyn Generation School,DOE,K515,6565 FLATLANDS AVENUE,NY,40.634451,-73.916927,318,46,95000,3079980005,BK50,Canarsie
2019,K567,18,Brooklyn Theatre Arts High School,DOE,K515,6565 FLATLANDS AVENUE,NY,40.634451,-73.916927,318,46,95000,3079980005,BK50,Canarsie
2019,K568,17,Brownsville Academy High School,DOE,K907,1150 EAST NEW YORK AVENUE,NY,40.666251,-73.923881,316,41,90000,3035080012,BK81,Brownsville
2019,K569,18,Kurt Hahn Expeditionary Learning School,DOE,K415,5800 TILDEN AVENUE,NY,40.647728,-73.922212,317,45,93600,3047420001,BK96,Rugby-Remsen Village
2019,K572,21,Expeditionary Learning School for Community Leader,DOE,K400,2630 BENSON AVENUE,NY,40.593028,-73.986313,313,47,30600,3068830001,BK26,Gravesend
2019,K576,18,Victory Collegiate High School,DOE,K515,6565 FLATLANDS AVENUE,NY,40.634451,-73.916927,318,46,95000,3079980005,BK50,Canarsie
2019,K577,14,Conselyea Preparatory School,DOE,K017,208 NORTH  5 STREET,NY,40.715268,-73.9573,301,34,51900,3023450001,BK73,North Side-South Side
2019,K578,18,Brooklyn Bridge Academy,DOE,K515,6565 FLATLANDS AVENUE,NY,40.634451,-73.916927,318,46,95000,3079980005,BK50,Canarsie
2019,K581,18,East Flatbush Community Research School,DOE,K232,905 WINTHROP STREET,NY,40.659088,-73.928744,317,41,88000,3046060025,BK60,Prospect Lefferts Gardens-Wingate
2019,K582,14,M.S. 582,DOE,K196,207 BUSHWICK AVENUE,NY,40.708804,-73.939385,301,34,48500,3030460001,BK78,Bushwick South
2019,K583,19,Multicultural High School,DOE,K420,999 JAMAICA AVENUE,NY,40.693002,-73.869305,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn
2019,K586,14,Lyons Community School,DOE,K049,223 GRAHAM AVENUE,NY,40.709765,-73.944463,301,34,50500,3030250001,BK90,East Williamsburg
2019,K588,18,Middle School for Art and Philosophy,DOE,K252,1084 LENOX ROAD,NY,40.657712,-73.919818,317,41,88600,3046690037,BK96,Rugby-Remsen Village
2019,K590,17,Medgar Evers College Preparatory School,DOE,K590,1186 CARROLL STREET,NY,40.66679,-73.951823,309,35,32100,3012890025,BK63,Crown Heights South
2019,K592,15,Khalil Gibran International Academy,DOE,K806,362 SCHERMERHORN STREET,NY,40.686147,-73.979829,302,33,3900,3001740001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K593,16,Excellence Boys Charter School,Charter,K783,239 PATCHEN AVENUE,NY,40.683446,-73.925851,303,41,38300,3016730001,BK35,Stuyvesant Heights
2019,K594,17,Gotham Professional Arts Academy,DOE,K909,561 GRAND AVENUE,NY,40.678591,-73.961636,308,35,30500,3011410005,BK61,Crown Heights North
2019,K595,13,Bedford Academy High School,DOE,K994,1119 BEDFORD AVENUE,NY,40.685486,-73.953692,303,36,24300,3018120001,BK75,Bedford
2019,K599,23,Brooklyn Landmark Elementary School,DOE,K073,251 MAC DOUGAL STREET,NY,40.680679,-73.910719,316,37,36900,3015280001,BK79,Ocean Hill
2019,K600,17,Clara Barton High School,DOE,K600,901 CLASSON AVENUE,NY,40.669805,-73.960689,309,35,21300,3011870001,BK63,Crown Heights South
2019,K602,22,Region 6,DOE,K995,5613-19 FLATLANDS AVE,NY,40.630513,-73.921727,318,46,72800,3077820034,BK58,Flatlands
2019,K604,15,Region 8,DOE,K802,131 LIVINGSTON STREET,NY,40.691075,-73.988475,302,33,3700,3001540001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K605,13,George Westinghouse Career and Technical Education,DOE,K580,105 TECH PLACE,NY,40.695444,-73.986105,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K605,13,George Westinghouse Career and Technical Education,DOE,K580,105 TECH PLACE,NY,40.695444,-73.986105,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K608,18,Kings Collegiate Charter School,Charter,K252,1084 LENOX ROAD,NY,40.657712,-73.919818,317,41,88600,3046690037,BK96,Rugby-Remsen Village
2019,K609,20,Urban Assembly School for Criminal Justice,DOE,K223,4200 16 AVENUE,NY,40.6351,-73.982424,312,44,23000,3053620021,BK88,Borough Park
2019,K610,14,Automotive High School,DOE,K610,50 BEDFORD AVENUE,NY,40.721448,-73.953328,301,33,51700,3026700001,BK73,North Side-South Side
2019,K611,22,Origins High School,DOE,K495,3000 AVENUE X,NY,40.593157,-73.936635,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K614,14,Young Women's Leadership School of Brooklyn,DOE,K147,325 BUSHWICK AVENUE,NY,40.705005,-73.93879,301,34,48500,3030910001,BK78,Bushwick South
2019,K615,19,Transit Tech Career and Technical Education High S,DOE,K615,1 WELLS STREET,NY,40.67878,-73.875328,305,37,119600,3041550075,BK82,East New York
2019,K616,13,Brooklyn High School for Leadership and Community,DOE,K117,300 WILLOUGHBY AVENUE,NY,40.692015,-73.95818,303,33,23500,3019260010,BK69,Clinton Hill
2019,K617,18,High School for Innovation in Advertising and Medi,DOE,K500,1600 ROCKAWAY PARKWAY,NY,40.640543,-73.898601,318,46,99000,3082220001,BK50,Canarsie
2019,K618,19,Academy of Innovative Technology,DOE,K420,999 JAMAICA AVENUE,NY,40.693002,-73.869305,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn
2019,K620,21,William E. Grady Career and Technical Education Hi,DOE,K620,25 BRIGHTON  4TH ROAD,NY,40.583263,-73.963764,313,48,36600,3072610201,BK19,Brighton Beach
2019,K626,23,Achievement First Brownsville Charter School,Charter,K055,2021 BERGEN STREET,NY,40.674456,-73.912685,316,41,36501,3014480001,BK79,Ocean Hill
2019,K627,16,Brighter Choice Community School,DOE,K304,280 HART STREET,NY,40.693654,-73.941278,303,36,28100,3017730014,BK35,Stuyvesant Heights
2019,K628,16,Brooklyn Brownstone School,DOE,K035,272 MACDONOUGH STREET,NY,40.681528,-73.935891,303,36,27300,3016740011,BK35,Stuyvesant Heights
2019,K629,18,Cultural Academy for the Arts and Sciences,DOE,K415,5800 TILDEN AVENUE,NY,40.647728,-73.922212,317,45,93600,3047420001,BK96,Rugby-Remsen Village
2019,K630,22,Professional Pathways High School,DOE,K495,3000 AVENUE X,NY,40.593157,-73.936635,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K633,18,High School for Medical Professions,DOE,K500,1600 ROCKAWAY PARKWAY,NY,40.640543,-73.898601,318,46,99000,3082220001,BK50,Canarsie
2019,K635,19,Olympus Academy,DOE,K242,755 EAST  100 STREET,NY,40.645965,-73.898607,318,46,974,3081880001,BK50,Canarsie
2019,K635,19,Olympus Academy,DOE,K242,755 EAST  100 STREET,NY,40.645965,-73.898607,318,46,974,3081880001,BK50,Canarsie
2019,K637,18,Academy for Conservation and the Environment,DOE,K515,6565 FLATLANDS AVENUE,NY,40.634451,-73.916927,318,46,95000,3079980005,BK50,Canarsie
2019,K639,19,Brooklyn Lab School,DOE,K420,999 JAMAICA AVENUE,NY,40.693002,-73.869305,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn
2019,K642,18,Urban Action Academy,DOE,K500,1600 ROCKAWAY PARKWAY,NY,40.640543,-73.898601,318,46,99000,3082220001,BK50,Canarsie
2019,K643,23,Brooklyn Democracy Academy,DOE,K275,985 ROCKAWAY AVENUE,NY,40.655644,-73.906662,316,42,92200,3036360007,BK81,Brownsville
2019,K644,23,Eagle Academy for Young Men II,DOE,K271,1137 HERKIMER STREET,NY,40.678124,-73.915106,316,41,30100,3015500001,BK79,Ocean Hill
2019,K646,17,Aspirations Diploma Plus High School,DOE,K824,402 EASTERN PARKWAY,NY,40.669561,-73.955188,309,35,32300,3012670001,BK63,Crown Heights South
2019,K647,23,Metropolitan Diploma Plus High School,DOE,K275,985 ROCKAWAY AVENUE,NY,40.655644,-73.906662,316,42,92200,3036360007,BK81,Brownsville
2019,K648,16,Bedford Stuyvesant Collegiate Charter School,Charter,K324,800 GATES AVENUE,NY,40.68797,-73.932066,303,36,29300,3016360001,BK35,Stuyvesant Heights
2019,K649,16,La Cima Charter School,Charter,K324,800 GATES AVENUE,NY,40.68797,-73.932066,303,36,29300,3016360001,BK35,Stuyvesant Heights
2019,K651,15,PAVE Academy Charter School,Charter,K990,732 HENRY STREET,NY,40.675936,-74.003372,306,38,5900,3005390024,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K652,18,Brooklyn Ascend Charter School,Charter,KBGH,205 Rockaway Parkway,NY,40.661945,-73.92044,317,41,89200,3046330050,BK81,Brownsville
2019,K654,19,Van Siclen Community Middle School,DOE,K166,800 VAN SICLEN AVE,NY,40.659934,-73.885704,305,42,110400,3043490050,BK82,East New York
2019,K656,15,Brooklyn High School of the Arts,DOE,K655,345 DEAN STREET,NY,40.683951,-73.980266,302,33,3900,3001920013,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K659,19,Cypress Hills Collegiate Preparatory School,DOE,K420,999 JAMAICA AVENUE,NY,40.693002,-73.869305,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn
2019,K660,19,W. H. Maxwell Career and Technical Education High,DOE,K660,145 PENNSYLVANIA AVENUE,NY,40.673766,-73.895976,305,37,114400,3037040001,BK85,East New York (Pennsylvania Ave)
2019,K661,19,Vista Academy,DOE,K302,350 LINWOOD STREET,NY,40.677112,-73.884211,305,37,117000,3039690001,BK82,East New York
2019,K662,19,Liberty Avenue Middle School,DOE,K302,350 LINWOOD STREET,NY,40.677112,-73.884211,305,37,117000,3039690001,BK82,East New York
2019,K663,19,School of the Future Brooklyn,DOE,K174,574 DUMONT AVENUE,NY,40.665446,-73.897604,305,42,113000,3038020015,BK85,East New York (Pennsylvania Ave)
2019,K664,23,Brooklyn Environmental Exploration School (BEES),DOE,K073,251 MAC DOUGAL STREET,NY,40.680679,-73.910719,316,37,36900,3015280001,BK79,Ocean Hill
2019,K667,15,Sunset Park High School,DOE,K564,153 35TH STREET,NY,40.655583,-74.004342,307,38,8400,3006880026,BK32,Sunset Park West
2019,K668,23,Riverdale Avenue Middle School,DOE,K183,76 RIVERDALE AVENUE,NY,40.659618,-73.913508,316,42,89600,3035970011,BK81,Brownsville
2019,K669,16,Research and Service High School,DOE,K455,1700 FULTON STREET,NY,40.678478,-73.931604,303,36,27100,3017010001,BK61,Crown Heights North
2019,K670,13,Benjamin Banneker Academy,DOE,K914,71-77 CLINTON AVENUE,NY,40.695389,-73.968759,302,35,19100,3018880034,BK69,Clinton Hill
2019,K671,23,Mott Hall Bridges Academy,DOE,K263,210 CHESTER STREET,NY,40.666187,-73.911279,316,41,92400,3035420001,BK81,Brownsville
2019,K673,18,East Brooklyn Community High School,DOE,K860,9517 KINGS HIGHWAY,NY,40.659914,-73.920658,317,41,88600,3046500015,BK96,Rugby-Remsen Village
2019,K674,13,"City Polytechnic High School of Engineering, Archi",DOE,K580,105 TECH PLACE,NY,40.695444,-73.986105,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K674,13,"City Polytechnic High School of Engineering, Archi",DOE,K580,105 TECH PLACE,NY,40.695444,-73.986105,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K676,15,Red Hook Neighborhood School,DOE,K027,27 HUNTINGTON STREET,NY,40.677914,-74.005151,306,38,5900,3005250001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K677,19,East New York Elementary School of Excellence,DOE,K072,605 SHEPHERD AVENUE,NY,40.669358,-73.879131,305,42,116400,3040690001,BK82,East New York
2019,K678,19,East New York Middle School of Excellence,DOE,K072,605 SHEPHERD AVENUE,NY,40.669358,-73.879131,305,42,116400,3040690001,BK82,East New York
2019,K680,19,Achievement First Aspire Charter School,Charter,K202,982 HEGEMAN AVENUE,NY,40.665817,-73.876084,305,42,111600,3044770001,BK82,East New York
2019,K681,16,Madiba Prep Middle School,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K681,16,Madiba Prep Middle School,DOE,K026,1014 LAFAYETTE AVENUE,NY,40.6921,-73.9317,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K682,21,The Academy of Talented Scholars,DOE,K237,50 AVENUE P,NY,40.606994,-73.986678,311,44,42800,3066180001,BK29,Bensonhurst East
2019,K683,19,School for Classics High School,DOE,K218,370 FOUNTAIN AVENUE,NY,40.67002,-73.874537,305,42,111800,3042780001,BK82,East New York
2019,K684,15,Millennium Brooklyn HS,DOE,K460,237 7 AVENUE,NY,40.669255,-73.97858,306,39,15500,3010820001,BK37,Park Slope-Gowanus
2019,K685,14,El Puente Academy for Peace and Justice,DOE,K778,250 HOOPER STREET,NY,40.70554,-73.955741,301,33,52900,3022070002,BK72,Williamsburg
2019,K686,21,Brooklyn School of Inquiry,DOE,K237,50 AVENUE P,NY,40.606994,-73.986678,311,44,42800,3066180001,BK29,Bensonhurst East
2019,K688,16,The Brooklyn Academy of Global Finance,DOE,K057,125 STUYVESANT AVENUE,NY,40.691467,-73.932254,303,36,29100,3016160001,BK35,Stuyvesant Heights
2019,K690,21,Brooklyn Studio Secondary School,DOE,K721,8310 21ST AVENUE,NY,40.60498,-73.995084,311,47,28800,3063290032,BK28,Bensonhurst West
2019,K691,13,Fort Greene Preparatory Academy,DOE,K046,100 CLERMONT AVENUE,NY,40.69453,-73.971644,302,35,18700,3020450011,BK68,Fort Greene
2019,K693,14,Northside Charter High School,Charter,K126,424 LEONARD STREET,NY,40.719818,-73.947932,301,33,49900,3027120001,BK76,Greenpoint
2019,K697,23,Teachers Preparatory High School,DOE,K175,226 BRISTOL STREET,NY,40.665568,-73.912102,316,41,92400,3035410001,BK81,Brownsville
2019,K698,15,South Brooklyn Community High School,DOE,K825,173 CONOVER STREET,NY,40.677968,-74.014363,306,38,5300,3005750003,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K699,15,Regional Operations Center E,DOE,K802,131 LIVINGSTON STREET,NY,40.691075,-73.988475,302,33,3700,3001540001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2019,K701,14,Brooklyn Charter School,Charter,K023,545 WILLOUGHBY AVENUE,NY,40.69447,-73.947256,303,36,25901,3017590013,BK75,Bedford
2019,K702,13,Community Partnership Charter School,Charter,K270,241 EMERSON PLACE,NY,40.691275,-73.961134,302,35,19300,3019230001,BK69,Clinton Hill
2019,K704,17,Explore Charter School,Charter,K002,655 PARKSIDE AVENUE,NY,40.656423,-73.951575,309,40,80200,3050500051,BK60,Prospect Lefferts Gardens-Wingate
2019,K705,17,Brooklyn Arts and Science Elementary School,DOE,K022,443 ST MARKS AVENUE,NY,40.6771,-73.960093,308,35,30500,3011480050,BK61,Crown Heights North
2019,K707,15,Brooklyn Prospect Charter School,Charter,KAGI,3002 FORT HAMILTON PARKWAY,NY,40.647893,-73.97872,307,39,50000,3053160001,BK40,Windsor Terrace
2019,K710,23,Brownsville Collegiate Charter School,Charter,K150,364 SACKMAN STREET,NY,40.668768,-73.90514,316,41,90800,3037440009,BK81,Brownsville
2019,K711,23,Leadership Preparatory Brownsville Charter School,Charter,K275,985 ROCKAWAY AVENUE,NY,40.655644,-73.906662,316,42,92200,3036360007,BK81,Brownsville
2019,K712,16,Excellence Girls Charter School,Charter,K309,794 MONROE STREET,NY,40.6881,-73.924422,303,41,38500,3016430036,BK35,Stuyvesant Heights
2019,K721,21,P.S. K721 - Brooklyn Occupational Training Center,DOE,K722,64 AVENUE X,NY,40.58807,-73.981925,313,47,30800,3071850020,BK26,Gravesend
2019,K722,17,New Heights Middle School,DOE,K391,790 EAST NEW YORK AVENUE,NY,40.662092,-73.936313,309,41,87600,3048060001,BK60,Prospect Lefferts Gardens-Wingate
2019,K724,18,Leadership Prep Canarsie Charter School (Leadershi,Charter,K279,1070 EAST 104 STREET,NY,40.644134,-73.892797,318,46,98600,3082300001,BK50,Canarsie
2019,K728,21,Liberation Diploma Plus,DOE,K728,2865 WEST 19TH STREET,NY,40.576976,-73.985413,313,47,32600,3070200039,BK21,Seagate-Coney Island
2019,K730,15,Summit Academy Charter School,Charter,K027,27 HUNTINGTON STREET,NY,40.677914,-74.005151,306,38,5900,3005250001,BK33,Carroll Gardens-Columbia Street-Red Hook
2019,K731,16,Brooklyn Excelsior Charter School,Charter,KAQX,856 QUINCY STREET,NY,40.689569,-73.925087,303,41,38700,3016330058,BK35,Stuyvesant Heights
2019,K733,32,"Math, Engineering, and Science Academy Charter Hig",Charter,K291,231 PALMETTO STREET,NY,40.695875,-73.915217,304,37,43300,3033430001,BK77,Bushwick North
2019,K736,18,New American Academy Charter School,Charter,K233,9301 AVENUE B,NY,40.651642,-73.914282,317,42,93000,3047530001,BK96,Rugby-Remsen Village
2019,K737,23,Brownsville Ascend Charter School,Charter,KBVT,1501 PITKIN AVENUE,NY,40.668608,-73.918123,316,41,90000,0,BK81,Brownsville
2019,K738,22,New Visions Charter High School for Advanced Math,Charter,K495,3000 AVENUE X,NY,40.593157,-73.936635,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K739,22,New Visions Charter High School for the Humanities,Charter,K495,3000 AVENUE X,NY,40.593157,-73.936635,315,48,62600,3074250002,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2019,K740,19,Brooklyn Scholars Charter School,Charter,KAJS,2635 LINDEN BOULEVARD,NY,40.669356,-73.867138,305,42,120800,3044640025,BK82,East New York
2019,K741,17,Success Academy Crown Heights (Brooklyn 7),Charter,K161,330 CROWN STREET,NY,40.665757,-73.949243,309,35,31900,3012970026,BK63,Crown Heights South
2019,K742,17,Explore Empower Charter School,Charter,K210,188 ROCHESTER AVENUE,NY,40.67271,-73.928917,308,36,34700,3013670022,BK61,Crown Heights North
2019,K744,21,Coney Island Preparatory Public Charter School,Charter,K303,501 WEST AVENUE,NY,40.582518,-73.972009,313,47,35400,3072500025,BK23,West Brighton
2019,K744,21,Coney Island Preparatory Public Charter School,Charter,K303,501 WEST AVENUE,NY,40.582518,-73.972009,313,47,35400,3072500025,BK23,West Brighton
